mcSEED_subsystem	name	alt_names	annotation	dupl_subsystem	dupl_homolog	phenotype	pathway	type	classification	additional_classification	function	regulon	evidence	PMID	example_id_mcSEED	example_locus_tag	additional_info
Beta-galactoside utilization	GosF	Bal6GBP	Beta-1,6-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)	d	d	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Preferentially binds beta-1,6-galactobiose and beta-1,6-galactotetraose in vitro. Has approximately 300-1630-fold lower affinity for beta-1,3/beta-1,4-galactobiose	BgaR	characterized	31186348	fig|580050.3.peg.488	Balac_0483	NA
Beta-galactoside utilization	GosG	GosD;LntP1	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports galactooligosaccharides	BgaR	characterized	NA	fig|326426.4.peg.572	Bbr_0527	Gene in Bifidobacterium breve UCC2003 is upregulated on galactooligosaccharides (PMID: 23199239)
Beta-galactoside utilization	GosH	GosE;LntP2	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports galactooligosaccharides	BgaR	characterized	NA	fig|326426.4.peg.573	Bbr_0528	Gene in Bifidobacterium breve UCC2003 is upregulated on galactooligosaccharides (PMID: 23199239)
Beta-galactoside utilization	GosX	NA	Putative galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport galactooligosaccharides	BgaR	predicted	NA	fig|565042.3.peg.462	BLLJ_0446	NA
Beta-galactoside utilization	LctT	LT-SBP	Lactulose ABC transporter substrate-binding protein (TC 3.A.1.1)	NA	NA	NA	Lactulose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports lactulose	BgaR	characterized	33972677	fig|216816.107.peg.495	BL105A_0502	Knockout of the gene significantly decreases the growth of Bifidobacterium longum subsp. longum 105-A on lactulose (PMID: 33972677)
Beta-galactoside utilization	BgaR	GosR;LntR	Putative transcriptional regulator of beta-1,6-linked galactooligosaccharide utilization (LacI family)	d	NA	GOS	Galactooligosaccharide utilization;Type II arabinogalactan degradation	regulator	LacI	NA	Predicted to regulate the expression of genes involved in beta-1,6-linked galactooligosaccharide utilization and type II arabinogalactan degradation. Predicted transcriptional effector: beta-1,6-galactobiose	BgaR	predicted	NA	fig|565042.3.peg.456	BLLJ_0440;BLLJ_RS02255	NA
Beta-galactoside utilization	BgaR3	NA	Putative transcriptional regulator of galactooligosaccharide utilization (LacI family)	NA	NA	GOS	Galactooligosaccharide utilization	regulator	LacI	NA	NA	BgaR	predicted	NA	fig|565042.3.peg.460	BLLJ_0444	NA
Type II AG and Gum Arabic utilization	AbpBL	NA	Beta-L-arabinopyranosidase (GH27)	NA	NA	AGII;GA	Type II arabinogalactan degradation;Gum arabic degradation	CAZyme	GH27	unknown	Releases terminal beta-arabinose (L-Arap) residues from larch wood arabinogalactan and gum arabic	AbpR	characterized	doi.org/10.5458/jag.jag.JAG-2014_006	fig|565042.3.peg.1887	BLLJ_1823	NA
Type II AG and Gum Arabic utilization	Bll2HypBA1	BLLJ_1826	Putative beta-L-arabinofuranosidase (GH127)	NA	NA	bAOS	Beta-arabinooligosaccharide utilization	CAZyme	GH127	intracellular	Predicted to release terminal beta-arabinose (L-Araf) residues	AbpR	predicted	38324037	fig|565042.3.peg.1890	BLLJ_1826	NA
Type II AG and Gum Arabic utilization	Abp36	NA	Beta-L-arabinopyranosidase (GH36)	NA	NA	AGII;GA	Type II arabinogalactan degradation;Gum arabic degradation	CAZyme	GH36	intracellular	Cleaves the beta-L-Arap-1,3-L-Ara disaccharide	AbpR	characterized	34354509	fig|1680.178.peg.1757	BAD_1528	NA
Type II AG and Gum Arabic utilization	Xyl43	BAD_1527	Beta-xylosidase (GH43_22)	NA	NA	XOS	Xylooligosaccharide utilization	CAZyme	GH43_22	unknown	Weakly hydrolyzes xylooligosaccharides (DP2-3). The mode of action is unknown	AbpR	characterized	32245121	fig|367928.6.peg.1604	BAD_1527	PMID: 23099913 suggests that BAD_1527 is secreted
Type II AG and Gum Arabic utilization	BaAbf51	AbfB	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)	NA	d	aAOS;AXOS	Alpha-arabinooligosaccharide utilization;Arabinoxylooligosaccharide utilization	CAZyme	GH51	intracellular	Releases alpha-1,3-linked arabinose (L-Araf) residues from double-substituted arabinoxylooligosaccharides	AbpR	characterized	20971079	fig|367928.6.peg.1601	BAD_1524	NA
Type II AG and Gum Arabic utilization	BaAbf51	BfdABF1	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)	NA	d	aAOS;AXOS	Alpha-arabinooligosaccharide utilization;Arabinoxylooligosaccharide utilization	CAZyme	GH51	intracellular	Releases alpha-1,2/3/5-linked arabinose (L-Araf) residues from alpha-arabino- (DP2-6) and arabinoxylooligosaccharides (A3X, A2XX)	AbpR	characterized	34949752	fig|871562.3.peg.881	HMPREF0168_2132	NA
Type II AG and Gum Arabic utilization	BaAbf51	BflsABF51	Alpha-1,2/3/5-L-arabinofuranosidase (GH51)	NA	d	aAOS;AXOS	Alpha-arabinooligosaccharide utilization;Arabinoxylooligosaccharide utilization	CAZyme	GH51	intracellular	Preferentially releases alpha-1,2/3-linked arabinose (L-Araf) residues from branched alpha-arabino- and arabinoxylooligosaccharides. Also releases alpha-1,5-linked arabinose (L-Araf) residues from alpha-arabinooligosachharides with lower efficiency	AbpR	characterized	doi.org/10.3390/ijms25063175	fig|206672.9.peg.1479	BL0181	NA
Type II AG and Gum Arabic utilization	AbpR	BL0176	Putative transcriptional regulator of beta-L-arabinopyranosidase (LacI family)	NA	NA	AGII;GA	Type II arabinogalactan degradation;Gum arabic degradation	regulator	LacI	NA	Predicted to regulate the expression of multiple glycoside hydrolases potentially involved in type II arabinogalactan degradation and gum arabic degradation	AbpR	predicted	26903998	fig|206672.9.peg.1475	BL0176	NA
Type II AG and Gum Arabic utilization	Bll3HypBA1	BLLJ_1848	Extracellular beta-1,3-L-arabinofuranosidase (GH146)	d	NA	AR;AGII;GA	Arabinan degradation;Type II arabinogalactan degradation;Gum arabic degradation	CAZyme	GH146	extracellular	Releases terminal beta-1,3-linked arabinose (L-Araf) residues from sugar beet arabinan, larch wood (type II) arabinogalactan, and gum arabic	NA	characterized	38324037	fig|565042.3.peg.1913	BLLJ_1848	NA
Type II AG and Gum Arabic utilization	BlArafA	BLLJ_1854	Extracellular alpha-1,3-L-arabinofuranosidase (GH43_22)	d	NA	AR;AGII	Arabinan degradation;Type II arabinogalactan degradation	CAZyme	GH43_22	extracellular	Releases terminal alpha-1,3-linked arabinose (L-Araf) residues from larch wood (type II) arabinogalactan and arabinan	AraQ	characterized	30564851	fig|565042.3.peg.1919	BLLJ_1854	NA
Type II AG and Gum Arabic utilization	BlArafE	BLLJ_1850	Extracellular alpha-1,3/4-L-arabinofuranosidase (GH43_22_34)	d	NA	AXOS;AX;GA	Arabinoxylooligosaccharide utilization;Arabinoxylan degradation;Gum arabic degradation	CAZyme	GH43_22;GH43_34	extracellular	The protein contains two GH domains with different activities. The GH43_22 domain releases terminal alpha-1,3-linked arabinose (L-Araf) residues from (i) alpha-1,3-Araf monosubstituted xylose (e.g., XA3XXX) in arabinoxylan, (ii) alpha-1,3-/alpha-1,4-Araf disubstituted galactose in gum arabic. The GH43_34 domain releases the remaining alpha-1,4-linked arabinose (L-Araf) residues from gum arabic	AraQ	characterized	35108084;35235007	fig|565042.3.peg.1915	BLLJ_1850	NA
Type II AG and Gum Arabic utilization	Bl13Gal	Bl1;3Gal;BLLJ_1840	Extracellular exo-beta-1,3-galactanase (GH43_24)	NA	NA	AX;GA	Type II arabinogalactan degradation;Gum arabic degradation	CAZyme	GH43_24	extracellular	Releases galactose (D-Galp) and beta-1,6-linked galactooligosaccharide side chains by cleaving b(1-3) glycosidic bonds in dearabinosylated larch wood (type II) arabinogalactan and gum arabic. Low activity toward intact larch wood arabinogalactan, beta-1,3-galactan, gum arabic. Not active toward potato (type I) galactan and beta-glucan	BgaR	characterized	24837371	fig|565042.3.peg.1905	BLLJ_1840	Gene in Bifidobacterium longum subsp. longum JCM1217 is upregulated on larch wood arabinogalactan (PMID: 24837371)
Type II AG and Gum Arabic utilization	Bl16Gal	Bl1;6Gal;BLLJ_1841	Extracellular exo-beta-1,6-galactobiohydrolase (GH30_5)	NA	NA	AGII	Type II arabinogalactan degradation	CAZyme	GH30_5	extracellular	Releases 6'-galactobiose from beta-1,6-linked galactooligosaccharides, dearabinosylated larch wood (type II) arabinogalactan, and beta-1,6 galactan. Side chain Araf residues hinder the activity	BgaR	characterized	30564851	fig|565042.3.peg.1906	BLLJ_1841	NA
Type II AG and Gum Arabic utilization	Gaf39	GAfase 	Extracellular 3-O-alpha-D-galactosyl-alpha-L-arabinofuranosidase (GH39)	NA	NA	AGII;GalAf;GA	Type II arabinogalactan degradation;Galactosylarabinose utilization;Gum arabic degradation	CAZyme	GH39	extracellular	Releases alpha-D-Galp-1,3-L-Araf and beta-L-Arap-1,3-L-Araf from gum arabic and beta-L-Arap-1,3-L-Araf from larch arabinogalactan	GafR	characterized	33674431	fig|216816.173.peg.38	APC1478_0034	NA
Type II AG and Gum Arabic utilization	Gaf36	BlAga3	Alpha-1,3-galactosidase (GH36)	NA	NA	GalAf	Galactosylarabinose utilization	CAZyme	GH36	intracellular	Preferentially releases terminal alpha-1,3-linked galactose (D-Galp) residue from galactosyl-arabinose (alpha-D-Galp-1,3-L-Ara). Does not act on intact gum arabic	GafR	characterized	doi.org/10.5458/jag.jag.JAG-2021_0004	fig|216816.173.peg.36	APC1478_0033	NA
Type II AG and Gum Arabic utilization	GafA	NA	Putative Gal(a1-3)Araf ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	GalAf	Galactosylarabinose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport galactosylarabinose	GafR	predicted	NA	fig|216816.173.peg.33	APC1478_0030	NA
Type II AG and Gum Arabic utilization	GafB	NA	Putative Gal(a1-3)Araf ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	GalAf	Galactosylarabinose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport galactosylarabinose	GafR	predicted	NA	fig|216816.173.peg.34	APC1478_0031	NA
Type II AG and Gum Arabic utilization	GafC	NA	Putative Gal(a1-3)Araf ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	GalAf	Galactosylarabinose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport galactosylarabinose	GafR	predicted	NA	fig|216816.173.peg.35	APC1478_0032	NA
Type II AG and Gum Arabic utilization	GafR	NA	Putative transcriptional regulator of Gal(a1-3)Araf utilization (LacI family)	NA	NA	GalAf	Galactosylarabinose utilization	regulator	LacI	NA	Predicted to regulate the expression of gafABC, gaf36, and gaf39	GafR	predicted	NA	fig|216816.173.peg.31	APC1478_0029	NA
Type II AG and Gum Arabic utilization	Aaf39	AAfase 	Extracellular 3-O-beta-L-arabinopyranosyl-alpha-L-arabinofuranosidase (GH39)	NA	NA	AGII;GA	Type II arabinogalactan degradation;Gum arabic degradation;Beta-1,3-arabinobiose utilization	CAZyme	GH39	extracellular	Releases beta-L-Arap-1,3-L-Araf from gum arabic and larch arabinogalactan	AafR	characterized	doi.org/10.20517/mrr.2023.08	fig|28026.102.peg.1193	B5791_1107	NA
Type II AG and Gum Arabic utilization	Aaf36	NA	Putative beta-L-arabinopyranosidase (GH36)	NA	NA	NA	Beta-1,3-arabinobiose utilization	CAZyme	GH36	intracellular	Predicted to cleave the beta-L-Arap-1,3-L-Ara disaccharide	AafR	predicted	NA	fig|28026.102.peg.1194	B5791_1108	NA
Type II AG and Gum Arabic utilization	AafA	NA	Putative Arap(b1-3)Araf ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	NA	Beta-1,3-arabinobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport beta-L-Arap-1,3-L-Ara	AafR	predicted	NA	fig|28026.102.peg.1196	B5791_1110	NA
Type II AG and Gum Arabic utilization	AafB	NA	Putative Arap(b1-3)Araf ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	NA	Beta-1,3-arabinobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport beta-L-Arap-1,3-L-Ara	AafR	predicted	NA	fig|28026.102.peg.1197	B5791_1111	NA
Type II AG and Gum Arabic utilization	AafC	NA	Putative Arap(b1-3)Araf ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	NA	Beta-1,3-arabinobiose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport beta-L-Arap-1,3-L-Ara	AafR	predicted	NA	fig|28026.102.peg.1198	B5791_1112	NA
Type II AG and Gum Arabic utilization	AafR	NA	Putative transcriptional regulator of Arap(b1-3)Araf utilization (LacI family)	NA	NA	NA	Beta-1,3-arabinobiose utilization	regulator	LacI	NA	Predicted to regulate the expression of aafABC, aaf36, and aaf39	AafR	predicted	NA	fig|28026.102.peg.1199	B5791_1113	NA
Type II AG and Gum Arabic utilization	GosF	GosC;LntS;GL-SBP1	Beta-1,6-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)	d	d	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Preferentially binds 6'/4'-galactosyllactose in vitro. Extremely low affinity toward 3'-galactosyllactose	BgaR	characterized	28920844	fig|326426.4.peg.575	Bbr_0530	Gene in Bifidobacterium breve UCC2003 is upregulated on galactooligosaccharides (PMID: 23199239)
Type II AG and Gum Arabic utilization	GosF	Bal6GBP	Beta-1,6-linked galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)	d	d	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Preferentially binds beta-1,6-galactobiose and beta-1,6-galactotetraose in vitro. Has approximately 300-1630-fold lower affinity for beta-1,3/beta-1,4-galactobiose	BgaR	characterized	31186348	fig|580050.3.peg.488	Balac_0483	NA
Type II AG and Gum Arabic utilization	GosG	GosD;LntP1	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports galactooligosaccharides	BgaR	characterized	NA	fig|326426.4.peg.572	Bbr_0527	Gene in Bifidobacterium breve UCC2003 is upregulated on galactooligosaccharides (PMID: 23199239)
Type II AG and Gum Arabic utilization	GosH	GosE;LntP2	Beta-1,6-linked galactooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Transports galactooligosaccharides	BgaR	characterized	NA	fig|326426.4.peg.573	Bbr_0528	Gene in Bifidobacterium breve UCC2003 is upregulated on galactooligosaccharides (PMID: 23199239)
Type II AG and Gum Arabic utilization	GosX	NA	Putative galactooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1)	d	NA	GOS	Galactooligosaccharide utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport galactooligosaccharides	BgaR	predicted	NA	fig|565042.3.peg.462	BLLJ_0446	NA
Type II AG and Gum Arabic utilization	BgaR	GosR;LntR	Putative transcriptional regulator of beta-1,6-linked galactooligosaccharide utilization (LacI family)	d	NA	GOS	Galactooligosaccharide utilization;Type II arabinogalactan degradation	regulator	LacI	NA	Predicted to regulate the expression of genes involved in beta-1,6-linked galactooligosaccharide utilization and type II arabinogalactan degradation. Predicted transcriptional effector: 6'-galactobiose	BgaR	predicted	NA	fig|565042.3.peg.456	BLLJ_0440;BLLJ_RS02255	NA
Fructose and fructoside utilization	Frk	NA	Fructokinase (EC 2.7.1.4)	d	NA	Fru;Man;Stl;Mtl	D-fructose utilization;D-mannose utilization;D-sorbitol utilization;D-mannitol utilization	downstream_catabolism	EC 2.7.1.4	NA	Phosphorylates D-fructose to D-fructose-6-phosphate	FruR	characterized	15375133	fig|206672.9.peg.197	BL1339	NA
Fructose and fructoside utilization	FruP	NA	Putative fructose MFS permease (TC 2.A.1.7)	NA	NA	Fru	D-fructose utilization	transporter	TC 2.A.1.7	MFS Superfamily; Fucose: H+ Symporter (FHS) Family	Predicted to transport D-fructose	FruR	predicted	NA	fig|702459.3.peg.585	BBPR_0561	Gene in Bifidobacterium bifidum PRL2010 is upregulated on D-fructose (PMID: 22562993)
Fructose and fructoside utilization	FruE	NA	Fructose/xylose/ribose ABC transporter substrate-binding component (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.35	BL0033	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Fructose and fructoside utilization	FruF	NA	Fructose/xylose/ribose ABC transporter permease component 1 (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.37	BL0035	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Fructose and fructoside utilization	FruG	NA	Fructose/xylose/ribose ABC transporter permease component 2 (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.38	BL0036	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Fructose and fructoside utilization	FruK	NA	Fructose/xylose/ribose ABC transporter ATP-binding component (TC 3.A.1.2.23)	d	NA	Fru;Xyl;Rib;Ara	D-fructose utilization;D-xylose utilization;D-ribose utilization; L-arabinose utilization	transporter	TC 3.A.1.2.23	ABC Superfamily; Carbohydrate Uptake Transporter-2 (CUT2) Family	Transports D-fructose, D-xylose, and D-ribose (fructose is the preferred substrate). Predicted to transport L-arabinose	NA	characterized	22102285	fig|206672.9.peg.36	BL0034	Gene in Bifidobacterium longum subsp. longum NCC2705 is upregulated on D-fructose, D-ribose, and D-xylose (PMID: 22102285). Gene in Bifidobacterium longum subsp. longum NCIMB8809 upregulated on arabinose and arabinoxylan (PMID: 38752423)
Fructose and fructoside utilization	FruA	NA	Fructose-specific PTS system IIABC components (TC 4.A.1.2.18)	NA	NA	Fru	D-fructose utilization	transporter	TC 4.A.1.2.18	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Transports D-fructose. Phosphorylates D-fructose at the C-6 position	FruT	characterized	17098914	fig|326426.4.peg.1712	Bbr_1594	NA
Fructose and fructoside utilization	FruA2a	NA	Fructose-specific PTS system IIA component (TC 4.A.7)	NA	NA	Fru	D-fructose utilization	transporter	TC 4.A.7	PTS-AG Superfamily; L-Ascorbate (L-Asc) Family	Predicted to transport fructose	FruR2	predicted	doi.org/10.1101/2023.08.29.555234	fig|326426.4.peg.2039	Bbr_1894	NA
Fructose and fructoside utilization	FruA2b	NA	Fructose-specific PTS system IIB component (TC 4.A.7)	NA	NA	Fru	D-fructose utilization	transporter	TC 4.A.7	PTS-AG Superfamily; L-Ascorbate (L-Asc) Family	Predicted to transport fructose	FruR2	predicted	doi.org/10.1101/2023.08.29.555234	fig|326426.4.peg.2038	Bbr_1893	NA
Fructose and fructoside utilization	FruA2c	NA	Fructose-specific PTS system IIC component (TC 4.A.7)	NA	NA	Fru	D-fructose utilization	transporter	TC 4.A.7	PTS-AG Superfamily; L-Ascorbate (L-Asc) Family	Transports D-fructose	FruR2	characterized	doi.org/10.1101/2023.08.29.555234	fig|326426.4.peg.2037	Bbr_1892	Knockout of the gene decreases the growth of Bifidobacterium breve UCC2003 on fructose (PMID: doi.org/10.1101/2023.08.29.555234)
Fructose and fructoside utilization	FruR	NA	Putative transcriptional regulator of fructose utilization (ROK family)	NA	NA	Fru	D-fructose utilization	regulator	ROK	NA	Predicted to regulate D-fructose utilization. Predicted effector: D-fructose	FruR2	predicted	26903998	fig|206672.9.peg.198	BL1340	NA
Fructose and fructoside utilization	FruT	NA	Fructose utilization antiterminator, BglG family	NA	NA	Fru	D-fructose utilization	regulator	BglG	NA	Predicted transcriptional antiterminator of fruA	FruT	predicted	17098914	fig|326426.4.peg.1711	Bbr_1593	NA
Fructose and fructoside utilization	FruR2	NA	Putative transcriptional regulator of fructose-specific PTS system (GntR family)	NA	NA	Fru	D-fructose utilization	regulator	GntR	NA	Predicted to regulate the expression of fruA2abc	FruR2	predicted_new	NA	fig|326426.4.peg.2036	Bbr_1891	NA
Fructose and fructoside utilization	ScrP	SucP	Sucrose phosphorylase (EC 2.4.1.7)	NA	NA	Scr	Sucrose utilization	CAZyme	GH13_18;EC 2.4.1.7	intracellular	Converts sucrose to alpha-D-glucose-1-phosphate and D-fructose	ScrR	characterized	12513973;14740189	fig|367928.6.peg.74	BAD_0078	Gene in Bifidobacterium animalis subsp. lactis is upregulated on sucrose and raffinose (PMID: 12513973)
Fructose and fructoside utilization	ScrT	NA	Putative sucrose MFS permease (TC 2.A.1.2)	NA	NA	Scr	Sucrose utilization	transporter	TC 2.A.1.2	MFS Superfamily; Drug:H+ Antiporter-1 (12 Spanner) (DHA1) Family	Predicted to transport sucrose	ScrR	predicted	NA	fig|580050.3.peg.136	Balac_0139	Gene in Bifidobacterium animalis subsp. lactis is upregulated on sucrose and raffinose (PMID: 12513973)
Fructose and fructoside utilization	ScrR	NA	Putative transcriptional regulator of sucrose utilization (LacI family)	NA	NA	Scr	Sucrose utilization	regulator	LacI	NA	Predicted to regulate the expression of scrP and scrT	ScrR	predicted	26903998	fig|580050.3.peg.134	Balac_0137	Gene in Bifidobacterium animalis subsp. lactis is upregulated on sucrose and raffinose (PMID: 12513973)
Fructose and fructoside utilization	Agl13D	NA	Putative alpha-glucosidase (GH13_44)	NA	NA	NA	NA	CAZyme	GH13_44	intracellular	Predicted to release terminal alpha-glucose (D-Glcp) residues from modifed sucrose (e.g., erlose)	ScrR	predicted_new	NA	fig|401473.3.peg.102	BDP_0111	NA
Fructose and fructoside utilization	ScrF	NA	Putative sucrose ABC transporter substrate-binding component (TC 3.A.1.1)	NA	NA	Scr	Sucrose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport sucrose	ScrR	predicted_new	NA	fig|401473.3.peg.103	BDP_0112	NA
Fructose and fructoside utilization	ScrG	NA	Putative sucrose ABC transporter permease component 1 (TC 3.A.1.1)	NA	NA	Scr	Sucrose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport sucrose	ScrR	predicted_new	NA	fig|401473.3.peg.104	BDP_0113	NA
Fructose and fructoside utilization	ScrH	NA	Putative sucrose ABC transporter permease component 2 (TC 3.A.1.1)	NA	NA	Scr	Sucrose utilization	transporter	TC 3.A.1.1	ABC Superfamily; Carbohydrate Uptake Transporter-1 (CUT1) Family	Predicted to transport sucrose	ScrR	predicted_new	NA	fig|401473.3.peg.105	BDP_0114	NA
Fructose and fructoside utilization	AmsA	NA	Amylosucrase (EC 2.4.1.4)	NA	NA	Scr	Sucrose utilization;Glycogen metabolism	CAZyme	GH13_4	intracellular	Catalyzes the synthesis of alpha-glucan from sucrose: [(1->4)-alpha-D-glucosyl](n) + sucrose = [(1->4)-alpha-D- glucosyl](n+1) + D-fructose	NA	predicted	NA	fig|401473.3.peg.350	BDP_0364	36% seq. identity with characterized amylosucrase from Neisseria polysaccharea (PMID: 9150231)
Fructose and fructoside utilization	CscA	NA	Beta-2,1/6-fructofuranosidase-2 (GH32)	NA	d	Scr;scFOS	Sucrose utilization;Short-chain fructooligosaccharide utilization	CAZyme	GH32	intracellular	Releases terminal beta-2,1/6-linked fructose (D-Fruf) residues from neokestose, 1-kestose, nystose, fructosylnystose. Has approximately 10-30-fold lower affinity for sucrose and inulin	CscR	characterized	20380746	fig|367928.6.peg.1233	BAD_1150	NA
Fructose and fructoside utilization	CscA	NA	Beta-2,1/6-fructofuranosidase-2 (GH32)	NA	d	Scr;scFOS	Sucrose utilization;Short-chain fructooligosaccharide utilization	CAZyme	GH32	intracellular	Releases terminal beta-2,1-linked fructose (D-Fruf) residues from sucrose, 1-kestose, short-chain fructooligosaccharide mixture, inulin; PMID 15214632 reports low activity toward sucrose and inulin	CscR	characterized		fig|555970.3.peg.1245	Balat_1241	NA
Fructose and fructoside utilization	CscA	NA	Beta-2,1/6-fructofuranosidase-2 (GH32)	NA	d	Scr;scFOS	Sucrose utilization;Short-chain fructooligosaccharide utilization	CAZyme	GH32	intracellular	Releases terminal beta-2,1-linked fructose (D-Fruf) residues from nystose, short-chain fructooligosaccharide mixture, 1-kestose, sucrose (low activity)	CscR	characterized	doi.org/10.1016/j.procbio.2011.07.005	fig|206672.9.peg.112	BL0105	NA
Fructose and fructoside utilization	CscA	NA	Beta-2,1/6-fructofuranosidase-2 (GH32)	NA	d	Scr;scFOS	Sucrose utilization;Short-chain fructooligosaccharide utilization	CAZyme	GH32	intracellular	Releases terminal beta-2,1-linked fructose (D-Fruf) residues from nystose, 1-kestose, short-chain fructooligosaccharide mixture, inulin, sucrose	CscR	characterized	7920415;12460425	fig|391904.5.peg.787	Blon_0787	Protein in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on short-chain fructooligosaccharide mixture and inulin (PMID: 23469017)
